id,family,citation,source,source_codepoints,expected_braille,expected_dot_notation,accepted_braille,accepted_dot_notation,liblouis_braille,liblouis_dot_notation,backward_result,status,evidence_tier,official_example_available,upstream_test,actual_gap_classification,observed_difference,notes,typeform_spec,backward_error
quote_ascii_double,Quotes/apostrophes,"7.6.1, 7.6.5","""hello""",U+0022 U+0068 U+0065 U+006C U+006C U+006F U+0022,⠦⠓⠑⠇⠇⠕⠴,236 125 15 123 123 135 356,,,⠦⠓⠑⠇⠇⠕⠴,236 125 15 123 123 135 356,"""hello""",PASS,DERIVED,YES,No dedicated quote/apostrophe file; partial en-ueb.yaml Grade 2 examples,,exact,Directional quote is inferred from ordinary prose context.,,
quote_ascii_single_pair,Quotes/apostrophes,"7.6.2, 7.6.15",'hello',U+0027 U+0068 U+0065 U+006C U+006C U+006F U+0027,⠠⠦⠓⠑⠇⠇⠕⠠⠴,6 236 125 15 123 123 135 6 356,,,⠄⠓⠑⠇⠇⠕⠄,3 125 15 123 123 135 3,'hello',FAIL,DERIVED,YES,No dedicated quote/apostrophe file; partial en-ueb.yaml Grade 2 examples,LIBLOUIS_OUTDATED_RULE,expected output differs,Ordinary prose context calls for directional single quotes.,,
apostrophe_mid_ascii,Quotes/apostrophes,"7.6.6, 7.6.15",can't,U+0063 U+0061 U+006E U+0027 U+0074,⠉⠁⠝⠄⠞,14 1 1345 3 2345,,,⠉⠁⠝⠄⠞,14 1 1345 3 2345,can't,PASS,OFFICIAL,YES,No dedicated quote/apostrophe file; partial en-ueb.yaml Grade 2 examples,,exact,,,
apostrophe_possessive_ascii,Quotes/apostrophes,7.6.6,Jones',U+004A U+006F U+006E U+0065 U+0073 U+0027,⠠⠚⠕⠝⠑⠎⠄,6 245 135 1345 15 234 3,,,⠠⠚⠕⠝⠑⠎⠄,6 245 135 1345 15 234 3,Jones',PASS,OFFICIAL,YES,No dedicated quote/apostrophe file; partial en-ueb.yaml Grade 2 examples,,exact,,,
apostrophe_leading_tis,Quotes/apostrophes,7.6.14-7.6.15,'tis,U+0027 U+0074 U+0069 U+0073,⠄⠞⠊⠎,3 2345 24 234,,,⠄⠞⠊⠎,3 2345 24 234,'tis,PASS,DERIVED,YES,No dedicated quote/apostrophe file; partial en-ueb.yaml Grade 2 examples,,exact,Common leading-apostrophe dictionary word.,,
apostrophe_mid_curly,Quotes/apostrophes,"7.6.6, 7.6.15",can’t,U+0063 U+0061 U+006E U+2019 U+0074,⠉⠁⠝⠄⠞,14 1 1345 3 2345,,,⠉⠁⠝⠄⠞,14 1 1345 3 2345,can't,PASS,OFFICIAL,YES,No dedicated quote/apostrophe file; partial en-ueb.yaml Grade 2 examples,,exact,,,
apostrophe_possessive_curly,Quotes/apostrophes,7.6.6,Jones’,U+004A U+006F U+006E U+0065 U+0073 U+2019,⠠⠚⠕⠝⠑⠎⠄,6 245 135 1345 15 234 3,,,⠠⠚⠕⠝⠑⠎⠄,6 245 135 1345 15 234 3,Jones',PASS,OFFICIAL,YES,No dedicated quote/apostrophe file; partial en-ueb.yaml Grade 2 examples,,exact,Curly print apostrophe still maps to apostrophe in UEB.,,
quote_nested,Quotes/apostrophes,7.6.3,"“She said, ‘yes’.”",U+201C U+0053 U+0068 U+0065 U+0020 U+0073 U+0061 U+0069 U+0064 U+002C U+0020 U+2018 U+0079 U+0065 U+0073 U+2019 U+002E U+201D,⠦⠠⠎⠓⠑⠀⠎⠁⠊⠙⠂⠀⠠⠦⠽⠑⠎⠠⠴⠴,236 6 234 125 15 0 234 1 24 145 2 0 6 236 13456 15 234 6 356 356,,,⠦⠠⠎⠓⠑⠀⠎⠁⠊⠙⠂⠀⠠⠦⠽⠑⠎⠄⠲⠴,236 6 234 125 15 0 234 1 24 145 2 0 6 236 13456 15 234 3 256 356,"""She said, ""yes'.""",FAIL,OFFICIAL,YES,No dedicated quote/apostrophe file; partial en-ueb.yaml Grade 2 examples,TABLE_GAP,expected output differs,,,
quote_next_punctuation,Quotes/apostrophes,7.6.1,"""Hi!""",U+0022 U+0048 U+0069 U+0021 U+0022,⠦⠠⠓⠊⠖⠴,236 6 125 24 235 356,,,⠦⠠⠓⠊⠖⠴,236 6 125 24 235 356,"""Hi!""",PASS,DERIVED,YES,No dedicated quote/apostrophe file; partial en-ueb.yaml Grade 2 examples,,exact,,,
quote_internal_two_cell,Quotes/apostrophes,7.6.7,Franc“e”s,U+0046 U+0072 U+0061 U+006E U+0063 U+201C U+0065 U+201D U+0073,⠠⠋⠗⠁⠝⠉⠘⠦⠑⠘⠴⠎,6 124 1235 1 1345 14 45 236 15 45 356 234,,,⠠⠋⠗⠁⠝⠉⠦⠑⠴⠎,6 124 1235 1 1345 14 236 15 356 234,"Franc?e""s",FAIL,OFFICIAL,YES,No dedicated quote/apostrophe file; partial en-ueb.yaml Grade 2 examples,TABLE_GAP,expected output differs,Official 7.6.7 example family: internal opening/closing double quotes require two-cell forms.,,
quote_standing_alone_double,Quotes/apostrophes,"2.6.2, 2.6.3, 7.6.8",(“...”),U+0028 U+201C U+002E U+002E U+002E U+201D U+0029,⠐⠣⠘⠦⠲⠲⠲⠘⠴⠐⠜,5 126 45 236 256 256 256 45 356 5 345,,,⠐⠣⠦⠲⠲⠲⠴⠐⠜,5 126 236 256 256 256 356 5 345,"(""…"")",FAIL,DERIVED,YES,No dedicated quote/apostrophe file; partial en-ueb.yaml Grade 2 examples,TABLE_GAP,expected output differs,Standing-alone double quotation marks require the two-cell forms to avoid wordsign ambiguity.,,
quote_g1_order,Quotes/apostrophes,7.6.9,"Spell ""W-a-l-k"".",U+0053 U+0070 U+0065 U+006C U+006C U+0020 U+0022 U+0057 U+002D U+0061 U+002D U+006C U+002D U+006B U+0022 U+002E,⠠⠎⠏⠑⠇⠇⠀⠦⠰⠰⠠⠺⠤⠁⠤⠇⠤⠅⠴⠲,6 234 1234 15 123 123 0 236 56 56 6 2456 36 1 36 123 36 13 356 256,,,⠠⠎⠏⠑⠇⠇⠀⠦⠠⠺⠤⠁⠤⠇⠤⠅⠠⠶⠲,6 234 1234 15 123 123 0 236 6 2456 36 1 36 123 36 13 6 2356 256,"Spell ""W-a-l-k"".",FAIL,DERIVED,YES,No dedicated quote/apostrophe file; partial en-ueb.yaml Grade 2 examples,TABLE_GAP,expected output differs,The 2024 rule requires the opening double quote before the Grade 1 word indicator; the rest is rendered uncontracted for this probe.,,
quote_standing_alone_single,Quotes/apostrophes,7.6.10,‘ ’,U+2018 U+0020 U+2019,⠰⠠⠦⠀⠰⠠⠴,56 6 236 0 56 6 356,,,⠠⠦⠀⠠⠴,6 236 0 6 356,""" """,FAIL,DERIVED,YES,No dedicated quote/apostrophe file; partial en-ueb.yaml Grade 2 examples,TABLE_GAP,expected output differs,Standing-alone single quotation marks need Grade 1 disambiguation; this is a focused symbol-level probe.,,
dash_hyphenated,Hyphen/dash,7.2,well-known,U+0077 U+0065 U+006C U+006C U+002D U+006B U+006E U+006F U+0077 U+006E,⠺⠑⠇⠇⠤⠅⠝⠕⠺⠝,2456 15 123 123 36 13 1345 135 2456 1345,,,⠺⠑⠇⠇⠤⠅⠝⠕⠺⠝,2456 15 123 123 36 13 1345 135 2456 1345,well-known,PASS,DERIVED,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,,exact,,,
dash_en,Hyphen/dash,7.2,word – word,U+0077 U+006F U+0072 U+0064 U+0020 U+2013 U+0020 U+0077 U+006F U+0072 U+0064,⠺⠕⠗⠙⠀⠠⠤⠀⠺⠕⠗⠙,2456 135 1235 145 0 6 36 0 2456 135 1235 145,,,⠺⠕⠗⠙⠀⠠⠤⠀⠺⠕⠗⠙,2456 135 1235 145 0 6 36 0 2456 135 1235 145,word — word,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,,exact,,,
dash_em,Hyphen/dash,7.2,word — word,U+0077 U+006F U+0072 U+0064 U+0020 U+2014 U+0020 U+0077 U+006F U+0072 U+0064,⠺⠕⠗⠙⠀⠠⠤⠀⠺⠕⠗⠙,2456 135 1235 145 0 6 36 0 2456 135 1235 145,,,⠺⠕⠗⠙⠀⠠⠤⠀⠺⠕⠗⠙,2456 135 1235 145 0 6 36 0 2456 135 1235 145,word — word,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,,exact,,,
dash_print_double_hyphen,Hyphen/dash,7.2.6,word -- word,U+0077 U+006F U+0072 U+0064 U+0020 U+002D U+002D U+0020 U+0077 U+006F U+0072 U+0064,⠺⠕⠗⠙⠀⠤⠤⠀⠺⠕⠗⠙,2456 135 1235 145 0 36 36 0 2456 135 1235 145,⠺⠕⠗⠙⠀⠠⠤⠀⠺⠕⠗⠙,2456 135 1235 145 0 6 36 0 2456 135 1235 145,⠺⠕⠗⠙⠀⠤⠤⠀⠺⠕⠗⠙,2456 135 1235 145 0 36 36 0 2456 135 1235 145,word -- word,PASS,DERIVED,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,,exact,Two adjacent print hyphens may remain two hyphens or be rendered as a dash.,,
brackets_round,Brackets,"2.6, 7.1",(hello),U+0028 U+0068 U+0065 U+006C U+006C U+006F U+0029,⠐⠣⠓⠑⠇⠇⠕⠐⠜,5 126 125 15 123 123 135 5 345,,,⠐⠣⠓⠑⠇⠇⠕⠐⠜,5 126 125 15 123 123 135 5 345,(hello),PASS,DERIVED,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,,exact,,,
brackets_square,Brackets,"2.6, 7.1",[hello],U+005B U+0068 U+0065 U+006C U+006C U+006F U+005D,⠨⠣⠓⠑⠇⠇⠕⠨⠜,46 126 125 15 123 123 135 46 345,,,⠨⠣⠓⠑⠇⠇⠕⠨⠜,46 126 125 15 123 123 135 46 345,[hello],PASS,DERIVED,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,,exact,,,
brackets_curly,Brackets,"2.6, 7.1",{hello},U+007B U+0068 U+0065 U+006C U+006C U+006F U+007D,⠸⠣⠓⠑⠇⠇⠕⠸⠜,456 126 125 15 123 123 135 456 345,,,⠸⠣⠓⠑⠇⠇⠕⠸⠜,456 126 125 15 123 123 135 456 345,{hello},PASS,DERIVED,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,,exact,,,
symbols_amp_at,Symbols,"3.1, 3.7",& @,U+0026 U+0020 U+0040,⠈⠯⠀⠈⠁,4 12346 0 4 1,,,⠈⠯⠀⠈⠁,4 12346 0 4 1,& @,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml,,exact,,,
symbols_percent_hash,Symbols,"3.19, 3.21",% #,U+0025 U+0020 U+0023,⠨⠴⠀⠸⠹,46 356 0 456 1456,,,⠨⠴⠀⠸⠹,46 356 0 456 1456,% #,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml,,exact,,,
symbols_copyright_trademark,Symbols,3.8,© ® ™,U+00A9 U+0020 U+00AE U+0020 U+2122,⠘⠉⠀⠘⠗⠀⠘⠞,45 14 0 45 1235 0 45 2345,,,⠘⠉⠀⠘⠗⠀⠘⠞,45 14 0 45 1235 0 45 2345,© ® ™,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml,,exact,,,
symbols_currency,Symbols,3.10,$ £ € ¥ ¢,U+0024 U+0020 U+00A3 U+0020 U+20AC U+0020 U+00A5 U+0020 U+00A2,⠈⠎⠀⠈⠇⠀⠈⠑⠀⠈⠽⠀⠈⠉,4 234 0 4 123 0 4 15 0 4 13456 0 4 14,,,⠈⠎⠀⠈⠇⠀⠈⠑⠀⠈⠽⠀⠈⠉,4 234 0 4 123 0 4 15 0 4 13456 0 4 14,$ £ € ¥ ¢,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml,,exact,,,
symbols_degree_section,Symbols,"3.11, 3.20",° § ¶,U+00B0 U+0020 U+00A7 U+0020 U+00B6,⠘⠚⠀⠘⠎⠀⠘⠏,45 245 0 45 234 0 45 1234,,,⠘⠚⠀⠘⠎⠀⠘⠏,45 245 0 45 234 0 45 1234,° § ¶,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml,,exact,,,
symbols_degree_prime,Symbols,"3.11, 3.15",6′ 9″,U+0036 U+2032 U+0020 U+0039 U+2033,⠼⠋⠶⠀⠼⠊⠶⠶,3456 124 2356 0 3456 24 2356 2356,,,⠼⠋⠶⠀⠼⠊⠶⠶,3456 124 2356 0 3456 24 2356 2356,6′ 9″,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml,,exact,Prime/minute/second signs follow print; included to close the prime half of the Section 3.11 scope row.,,
symbols_bullet,Symbols,3.5,•,U+2022,⠸⠲,456 256,,,⠸⠲,456 256,•,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml,,exact,,,
symbols_number_sign,Symbols,3.19,#4,U+0023 U+0034,⠸⠹⠼⠙,456 1456 3456 145,,,⠸⠹⠼⠙,456 1456 3456 145,#4,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml,,exact,,,
symbols_currency_amount,Symbols,"3.10, 6.7",£7.50,U+00A3 U+0037 U+002E U+0035 U+0030,⠈⠇⠼⠛⠲⠑⠚,4 123 3456 1245 256 15 245,,,⠈⠇⠼⠛⠲⠑⠚,4 123 3456 1245 256 15 245,£7.50,PASS,DERIVED,YES,en-ueb-symbols_harness.yaml,,exact,,,
grade1_plain_no_indicator,Grade-1,"2.5.5, 5.11",be,U+0062 U+0065,⠃⠑,12 15,,,⠃⠑,12 15,be,PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,,exact,Uncontracted text does not require a Grade 1 indicator everywhere.,,
grade1_numeric_letters,Grade-1,"5.6, 6.5.2",22b,U+0032 U+0032 U+0062,⠼⠃⠃⠰⠃,3456 12 12 56 12,,,⠼⠃⠃⠰⠃,3456 12 12 56 12,22b,PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,,exact,,,
grade1_numeric_capital,Grade-1,"5.6, 6.5.2",22B,U+0032 U+0032 U+0042,⠼⠃⠃⠠⠃,3456 12 12 6 12,,,⠼⠃⠃⠠⠃,3456 12 12 6 12,22B,PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,,exact,,,
grade1_numeric_hyphen_cap,Grade-1,"5.6.2, 6.5.4",3-D,U+0033 U+002D U+0044,⠼⠉⠤⠰⠠⠙,3456 14 36 56 6 145,,,⠼⠉⠤⠠⠙,3456 14 36 6 145,3-D,FAIL,OFFICIAL,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,TABLE_GAP,expected output differs,,,
grade1_indicator_order,Grade-1,5.8.1,3-D,U+0033 U+002D U+0044,⠼⠉⠤⠰⠠⠙,3456 14 36 56 6 145,,,⠼⠉⠤⠠⠙,3456 14 36 6 145,3-D,FAIL,DERIVED,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,TABLE_GAP,expected output differs,The Grade 1 indicator precedes the capitals indicator after a numeric-mode terminator.,,
spacing_normal,Spacing,3.23,a b,U+0061 U+0020 U+0062,⠁⠀⠃,1 0 12,,,⠁⠀⠃,1 0 12,a b,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,,exact,,,
spacing_multiple,Spacing,3.23,a  b,U+0061 U+0020 U+0020 U+0062,⠁⠀⠃,1 0 12,,,⠁⠀⠀⠃,1 0 0 12,a  b,FAIL,DERIVED,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,NORMALIZATION_PROBLEM,expected output differs,"UEB 3.23.1 says the amount of ordinary print space is not important and variation is ignored; this is a normalization-layer case, not a numeric-space case.",,
spacing_nbsp,Spacing,3.23,a b,U+0061 U+00A0 U+0062,⠁⠀⠃,1 0 12,,,⠁ ⠃,1 6 12,a b,FAIL,DERIVED,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,NORMALIZATION_PROBLEM,expected output differs,V1 source-normalization policy: NBSP outside numeric context is mapped to an ordinary space before translation. Raw Liblouis output is not accepted without that normalization.,,
spacing_thin_zero_width,Spacing,3.23,a b​a,U+0061 U+2009 U+0062 U+200B U+0061,⠁⠀⠃⠀⠁,1 0 12 0 1,,,⠁⠀⠃⠀⠁,1 0 12 0 1,a b a,PASS-PROVISIONAL,CONSTRUCTED,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,,exact,V1 source-normalization policy: U+2009 is ordinary spacing and U+200B is removed as an extraction separator in this plain-text probe; the resulting ordinary spaces are PASS-PROVISIONAL.,,
typeform_italic,Typeforms,9.2-9.4,italic,U+0069 U+0074 U+0061 U+006C U+0069 U+0063,⠨⠂⠊⠞⠁⠇⠊⠉,46 2 24 2345 1 123 24 14,,,⠨⠂⠊⠞⠁⠇⠊⠉,46 2 24 2345 1 123 24 14,"\46/,italic",PASS,DERIVED,YES,en-ueb-g1_harness.yaml; en-ueb-g1_backward.yaml; yaml/emphasis.yaml,,exact,,"{""italic"":[0,1,2,3,4,5]}",
typeform_bold,Typeforms,9.2-9.4,bold,U+0062 U+006F U+006C U+0064,⠘⠂⠃⠕⠇⠙,45 2 12 135 123 145,,,⠘⠂⠃⠕⠇⠙,45 2 12 135 123 145,"\45/,bold",PASS,DERIVED,YES,en-ueb-g1_harness.yaml; en-ueb-g1_backward.yaml; yaml/emphasis.yaml,,exact,,"{""bold"":[0,1,2,3]}",
typeform_underline,Typeforms,9.2-9.4,under,U+0075 U+006E U+0064 U+0065 U+0072,⠸⠂⠥⠝⠙⠑⠗,456 2 136 1345 145 15 1235,,,⠸⠂⠥⠝⠙⠑⠗,456 2 136 1345 145 15 1235,"\456/,under",PASS,DERIVED,YES,en-ueb-g1_harness.yaml; en-ueb-g1_backward.yaml; yaml/emphasis.yaml,,exact,,"{""underline"":[0,1,2,3,4]}",
typeform_number_symbol,Typeforms,9.2.1,8,U+0038,⠨⠆⠼⠓,46 23 3456 125,,,⠨⠆⠼⠓,46 23 3456 125,\46/;8,PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; en-ueb-g1_backward.yaml; yaml/emphasis.yaml,,exact,Official rule 9.2.1 example family: a typeform symbol indicator before a number.,"{""italic"":[0]}",
typeform_number,Typeforms,9.3.1,123,U+0031 U+0032 U+0033,⠨⠂⠼⠁⠃⠉,46 2 3456 1 12 14,,,⠨⠂⠼⠁⠃⠉,46 2 3456 1 12 14,"\46/,123",PASS,DERIVED,YES,en-ueb-g1_harness.yaml; en-ueb-g1_backward.yaml; yaml/emphasis.yaml,,exact,Rule 9.3.1 permits a typeform word indicator to set the typeform for the following numeric symbols-sequence.,"{""italic"":[0,1,2]}",
typeform_passage,Typeforms,9.4,one two three,U+006F U+006E U+0065 U+0020 U+0074 U+0077 U+006F U+0020 U+0074 U+0068 U+0072 U+0065 U+0065,⠨⠶⠕⠝⠑⠀⠞⠺⠕⠀⠞⠓⠗⠑⠑⠨⠄,46 2356 135 1345 15 0 2345 2456 135 0 2345 125 1235 15 15 46 3,,,⠨⠶⠕⠝⠑⠀⠞⠺⠕⠀⠞⠓⠗⠑⠑⠨⠄,46 2356 135 1345 15 0 2345 2456 135 0 2345 125 1235 15 15 46 3,\46/′one two three\46/',PASS,DERIVED,YES,en-ueb-g1_harness.yaml; en-ueb-g1_backward.yaml; yaml/emphasis.yaml,,exact,Three typeformed symbols-sequences exercise passage opening and termination.,"{""italic"":[0,1,2,3,4,5,6,7,8,9,10,11,12]}",
typeform_word_punctuation,Typeforms,9.7.2,word!,U+0077 U+006F U+0072 U+0064 U+0021,⠨⠂⠺⠕⠗⠙⠨⠄⠖,46 2 2456 135 1235 145 46 3 235,,,⠨⠂⠺⠕⠗⠙⠨⠄⠖,46 2 2456 135 1235 145 46 3 235,"\46/,word\46/'!",PASS,DERIVED,YES,en-ueb-g1_harness.yaml; en-ueb-g1_backward.yaml; yaml/emphasis.yaml,,exact,"Punctuation is outside the supplied word typeform, so the terminator precedes it.","{""italic"":[0,1,2,3]}",
typeform_multiple,Typeforms,9.8.1,word,U+0077 U+006F U+0072 U+0064,⠘⠂⠨⠂⠺⠕⠗⠙,45 2 46 2 2456 135 1235 145,,,⠘⠂⠨⠂⠺⠕⠗⠙,45 2 46 2 2456 135 1235 145,"\45/,\46/,word",PASS,DERIVED,YES,en-ueb-g1_harness.yaml; en-ueb-g1_backward.yaml; yaml/emphasis.yaml,,exact,"Two simultaneous typeforms; Liblouis chooses an order, while UEB does not prescribe one.","{""italic"":[0,1,2,3],""bold"":[0,1,2,3]}",
na_grade_contracted_sentence,N/A-GRADE,"4.1, 2.5",A boy and his dog were on the path.,U+0041 U+0020 U+0062 U+006F U+0079 U+0020 U+0061 U+006E U+0064 U+0020 U+0068 U+0069 U+0073 U+0020 U+0064 U+006F U+0067 U+0020 U+0077 U+0065 U+0072 U+0065 U+0020 U+006F U+006E U+0020 U+0074 U+0068 U+0065 U+0020 U+0070 U+0061 U+0074 U+0068 U+002E,,,,,⠠⠁⠀⠃⠕⠽⠀⠁⠝⠙⠀⠓⠊⠎⠀⠙⠕⠛⠀⠺⠑⠗⠑⠀⠕⠝⠀⠞⠓⠑⠀⠏⠁⠞⠓⠲,6 1 0 12 135 13456 0 1 1345 145 0 125 24 234 0 145 135 1245 0 2456 15 1235 15 0 135 1345 0 2345 125 15 0 1234 1 2345 125 256,A boy and his dog were on the path.,N/A-GRADE,N/A-GRADE,YES,en-ueb.yaml (Grade 2 only; not comparable),N/A-GRADE,Not compared: official example is contracted/Grade 2.,Rulebook example is contracted; deliberately not compared with en-ueb-g1.,,
na_grade_contracted_quotes,N/A-GRADE,7.6,“Why is that?” he asked.,U+201C U+0057 U+0068 U+0079 U+0020 U+0069 U+0073 U+0020 U+0074 U+0068 U+0061 U+0074 U+003F U+201D U+0020 U+0068 U+0065 U+0020 U+0061 U+0073 U+006B U+0065 U+0064 U+002E,,,,,⠦⠠⠺⠓⠽⠀⠊⠎⠀⠞⠓⠁⠞⠦⠴⠀⠓⠑⠀⠁⠎⠅⠑⠙⠲,236 6 2456 125 13456 0 24 234 0 2345 125 1 2345 236 356 0 125 15 0 1 234 13 15 145 256,"""Why is that?"" he asked.",N/A-GRADE,N/A-GRADE,YES,en-ueb.yaml (Grade 2 only; not comparable),N/A-GRADE,Not compared: official example is contracted/Grade 2.,Rulebook example is contracted; deliberately not compared with en-ueb-g1.,,
na_grade_contracted_numeric,N/A-GRADE,6.7,"The temperature was 100,000°C.",U+0054 U+0068 U+0065 U+0020 U+0074 U+0065 U+006D U+0070 U+0065 U+0072 U+0061 U+0074 U+0075 U+0072 U+0065 U+0020 U+0077 U+0061 U+0073 U+0020 U+0031 U+0030 U+0030 U+002C U+0030 U+0030 U+0030 U+00B0 U+0043 U+002E,,,,,⠠⠞⠓⠑⠀⠞⠑⠍⠏⠑⠗⠁⠞⠥⠗⠑⠀⠺⠁⠎⠀⠼⠁⠚⠚⠂⠚⠚⠚⠘⠚⠠⠉⠲,6 2345 125 15 0 2345 15 134 1234 15 1235 1 2345 136 1235 15 0 2456 1 234 0 3456 1 245 245 2 245 245 245 45 245 6 14 256,"The temperature was 100,000°C.",N/A-GRADE,N/A-GRADE,YES,en-ueb.yaml (Grade 2 only; not comparable),N/A-GRADE,Not compared: official example is contracted/Grade 2.,Rulebook example is contracted; deliberately not compared with en-ueb-g1.,,
